id,name,username,bloodline,champions,skins,masteries,level,icon,wins,missions,elo_soloq,elo_flex,honor,rol,blue_essence,orange_essence,created_at,updated_at
11,peraltadoctor,GEM Eunilacealle#LAS,Spadelline,84,345,84,72,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6893.png,"{""totals"":15,""current"":13}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":34,""mid"":89,""top"":23,""jungle"":45,""support"":67}",145670,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
12,-,GEM Lacellire#LAS,Spadelline,84,289,84,87,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6386.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":67,""mid"":34,""top"":45,""jungle"":78,""support"":89}",134560,21340,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
13,-,GEM PelsNpurmips#GEM,Spadelline,55,289,55,42,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/4163.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":67,""mid"":34,""top"":45,""jungle"":78,""support"":89}",134560,21340,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
14,-,GEM Primrosenrot#GEM,Spadelline,86,289,86,86,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/1457.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":67,""mid"":34,""top"":45,""jungle"":78,""support"":89}",134560,21340,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
15,Gemy,GEM Priscyumice#GEM,Spadelline,76,289,76,113,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/3018.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":1}",5,"{""adc"":67,""mid"":34,""top"":45,""jungle"":78,""support"":89}",134560,21340,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
16,Enzyto,GEM Regimbudlair#GEM,Spadelline,64,289,64,50,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6331.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":67,""mid"":34,""top"":45,""jungle"":78,""support"":89}",134560,21340,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
17,-,GEM Blaandelvals#GEM,Zephiroth,83,298,83,47,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6446.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":3}",4,"{""adc"":78,""mid"":45,""top"":34,""jungle"":67,""support"":56}",123450,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
18,-,GEM Bricellice#GEM,Zephiroth,121,389,121,81,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6447.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":34,""mid"":67,""top"":78,""jungle"":45,""support"":89}",187650,26780,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
19,Gemy,GEM Damglantine#GEM,Zephiroth,90,267,90,85,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5413.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":1}",5,"{""adc"":67,""mid"":34,""top"":45,""jungle"":78,""support"":45}",98760,14560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
20,jony_lu,GEM Deestellirys#GEM,Zephiroth,102,445,102,225,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6448.png,"{""totals"":15,""current"":5}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""emerald"",""division"":3}",4,"{""adc"":23,""mid"":89,""top"":78,""jungle"":45,""support"":56}",223450,32450,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
21,jony_lu,GEM Envicingess#GEM,Zephiroth,22,298,22,39,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/3176.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":1}",4,"{""adc"":78,""mid"":45,""top"":34,""jungle"":67,""support"":56}",123450,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
22,Gemy,GEM Glacelynne#GEM,Zephiroth,79,298,79,82,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5579.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""unranked"",""division"":2}",5,"{""adc"":78,""mid"":45,""top"":34,""jungle"":67,""support"":56}",123450,19870,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
23,Gemy,GEM Ivelism#GEM,Zephiroth,67,256,67,44,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6432.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":89,""mid"":45,""top"":34,""jungle"":67,""support"":12}",87650,15670,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
24,Zoro,GEM Lahallayd#GEM,Zephiroth,86,412,86,82,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5292.png,"{""totals"":15,""current"":5}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""gold"",""division"":1}",5,"{""adc"":45,""mid"":67,""top"":89,""jungle"":23,""support"":34}",189230,28750,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
25,-,GEM Lagrimelle#GEM,Zephiroth,116,412,116,95,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5640.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":45,""mid"":67,""top"":89,""jungle"":23,""support"":34}",189230,28750,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
26,Matutte,GEM Plissevelary#GEM,Zephiroth,50,412,50,38,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6921.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":2}",5,"{""adc"":45,""mid"":67,""top"":89,""jungle"":23,""support"":34}",189230,28750,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
27,Gemy,GEM Vaelardorcel#GEM,Zephiroth,47,412,47,37,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/1384.png,"{""totals"":15,""current"":5}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""gold"",""division"":4}","{""tier"":""unranked"",""division"":3}",4,"{""adc"":45,""mid"":67,""top"":89,""jungle"":23,""support"":34}",189230,28750,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
28,-,GEM Velchelisse#GEM,Zephiroth,51,412,51,36,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5463.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":45,""mid"":67,""top"":89,""jungle"":23,""support"":34}",189230,28750,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
29,-,GEM Asticedicair#GEM,Gladasmy,82,378,82,51,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5471.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
30,Gemy,GEM Dellablivien#GEM,Gladasmy,68,378,68,55,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5636.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":2}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
31,-,GEM Gallilessya#GEM,Gladasmy,56,378,56,37,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/22.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":4}",3,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
32,-,GEM Greedgardell#GEM,Gladasmy,100,378,100,112,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5639.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":4}",3,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
33,-,GEM Irzeleriance#LAS,Gladasmy,55,378,55,38,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/18.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":1}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
34,peraltadoctor,GEM Phrasimfasya#GEM,Gladasmy,44,378,44,30,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6541.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""silver"",""division"":3}","{""tier"":""emerald"",""division"":4}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
35,Matutte,GEM Praireclovia#GEM,Gladasmy,98,378,98,83,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/3836.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""emerald"",""division"":3}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
36,-,GEM Vespianelian#GEM,Gladasmy,83,378,83,78,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5416.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":3}",4,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
37,Gemy,GEM Vrilyarethez#GEM,Gladasmy,83,378,83,94,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5454.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":1}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
38,Matutte,GEM Cierzellant#GEM,Primogenit,58,378,58,44,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/4288.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""diamond"",""division"":4}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
39,peraltadoctor,GEM Deliquesence#LAS,Primogenit,37,378,37,40,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/5875.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""diamond"",""division"":4}",5,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:36.348072+00
40,jony_lu,GEM Veldraveth#GEM,Primogenit,49,378,49,58,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6247.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":23,""current"":0},""current_hall_of_legends"":{""totals"":38,""current"":0}}","{""tier"":""gold"",""division"":3}","{""tier"":""unranked"",""division"":1}",4,"{""adc"":78,""mid"":56,""top"":67,""jungle"":34,""support"":23}",167890,24560,2025-07-06 23:55:28.425738+00,2026-02-18 18:41:47.720124+00
41,-,GEM Religerness#GEM,Primogenit,29,320,29,30,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6894.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""UNRANKED"",""division"":0}","{""tier"":""unranked"",""division"":3}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:37.398068+00
42,AmNightmare,GEM Debranice#GEM,Gladasmy,47,320,47,37,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/21.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""unranked"",""division"":1}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:36.348072+00
43,jony_lu,GEM Gliecernice#GEM,Gladasmy,20,320,20,33,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/2.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""unranked"",""division"":3}","{""tier"":""unranked"",""division"":4}",4,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:47.720124+00
44,Matutte,GEM Golzendants#GEM,Primogenit,22,320,22,31,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6022.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:36.348072+00
45,peraltadoctor,GEM Argyndorness#GEM,Primogenit,4,320,4,15,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/907.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""UNRANKED"",""division"":0}","{""tier"":""diamond"",""division"":4}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:47.720124+00
46,AmNightmare,GEM Ornetchreans#GEM,Primogenit,8,320,8,30,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/12.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""unranked"",""division"":1}","{""tier"":""UNRANKED"",""division"":0}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:36.348072+00
47,Enzyto,GEM Lageldrynne#GEM,Zephiroth,48,320,48,33,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/4.png,"{""totals"":15,""current"":10}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""gold"",""division"":4}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:46.945646+00
48,AegonLucifer,GEM Furninscorce#GEM,Porveldam,11,320,11,34,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/3598.png,"{""totals"":15,""current"":6}","{""current_act"":{""totals"":10,""current"":0},""current_hall_of_legends"":{""totals"":5,""current"":0}}","{""tier"":""gold"",""division"":3}","{""tier"":""gold"",""division"":1}",4,"{""adc"":45,""mid"":78,""top"":56,""jungle"":34,""support"":23}",156780,23450,2025-09-12 19:09:34.417871+00,2026-02-18 18:41:47.720124+00
49,Matutte,GEM Arklyndarce#GEM,Porveldam,21,0,21,30,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/6923.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":0,""current"":0},""current_hall_of_legends"":{""totals"":0,""current"":0}}","{""tier"":""unranked"",""division"":2}","{""tier"":""UNRANKED"",""division"":0}",5,"{""adc"":0,""mid"":0,""top"":0,""jungle"":0,""support"":0}",0,0,2025-10-05 01:58:20.470125+00,2026-02-18 18:41:47.720124+00
50,-,GEM Buddelizeth#GEM,Spadelline,0,0,0,16,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/7.png,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":0,""current"":0},""current_hall_of_legends"":{""totals"":0,""current"":0}}","{""tier"":""UNRANKED"",""division"":0}","{""tier"":""UNRANKED"",""division"":0}",4,"{""adc"":0,""mid"":0,""top"":0,""jungle"":0,""support"":0}",0,0,2025-10-05 01:59:33.275699+00,2026-02-18 18:41:47.720124+00
51,Gemy,GEM Depurallire#GEM,Spadelline,21,0,21,32,https://ddragon.leagueoflegends.com/cdn/15.21.1/img/profileicon/3149.png,"{""totals"":15,""current"":15}","{""current_act"":{""totals"":0,""current"":0},""current_hall_of_legends"":{""totals"":0,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""platinum"",""division"":4}",5,"{""adc"":0,""mid"":0,""top"":0,""jungle"":0,""support"":0}",0,0,2025-10-05 02:00:03.33748+00,2026-02-18 18:41:47.720124+00
52,jony_lu,GEM Pracelgance#GEM,Spadelline,0,0,0,30,https://placehold.co/32x32/4a90e2/ffffff.png?text=🎮,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":0,""current"":0},""current_hall_of_legends"":{""totals"":0,""current"":0}}","{""tier"":""UNRANKED"",""division"":0}","{""tier"":""UNRANKED"",""division"":0}",5,"{""adc"":0,""mid"":0,""top"":0,""jungle"":0,""support"":0}",0,0,2025-11-14 20:25:38.57726+00,2026-02-18 18:41:36.348072+00
53,-,GEM Reamsetmours#GEM,Spadelline,0,0,0,33,https://placehold.co/32x32/4a90e2/ffffff.png?text=🎮,"{""totals"":15,""current"":0}","{""current_act"":{""totals"":0,""current"":0},""current_hall_of_legends"":{""totals"":0,""current"":0}}","{""tier"":""unranked"",""division"":4}","{""tier"":""unranked"",""division"":4}",5,"{""adc"":0,""mid"":0,""top"":0,""jungle"":0,""support"":0}",0,0,2025-11-14 20:25:38.57726+00,2026-02-18 18:41:47.720124+00
